-100.0000 -14.0192 35.0000
-98.9950 -13.2662 32.9995
-97.9899 -12.5872 30.9487
-96.9849 -11.9841 28.8530
-95.9799 -11.4586 26.7176
-94.9749 -11.0120 24.5482
-93.9698 -10.6458 22.3502
-92.9648 -10.3608 20.1293
-91.9598 -10.1578 17.8914
-90.9548 -10.0375 15.6421
-89.9497 -10.0001 13.3872
-88.9447 -10.0458 11.1327
-87.9397 -10.1744 8.8842
-86.9347 -10.3856 6.6477
-85.9296 -10.6787 4.4289
-84.9246 -11.0531 2.2335
-83.9196 -11.5076 0.0672
-82.9146 -12.0410 -2.0644
-81.9095 -12.6517 -4.1559
-80.9045 -13.3382 -6.2019
-79.8995 -14.0985 -8.1971
-78.8945 -14.9305 -10.1364
-77.8894 -15.8320 -12.0149
-76.8844 -16.8003 -13.8278
-75.8794 -17.8329 -15.5705
-74.8744 -18.9268 -17.2386
-73.8693 -20.0791 -18.8278
-72.8643 -21.2865 -20.3342
-71.8593 -22.5457 -21.7541
-70.8543 -23.8533 -23.0839
-69.8492 -25.2055 -24.3204
-68.8442 -26.5988 -25.4606
-67.8392 -28.0291 -26.5016
-66.8342 -29.4925 -27.4411
-65.8291 -30.9851 -28.2769
-64.8241 -32.5026 -29.0071
-63.8191 -34.0409 -29.6301
-62.8141 -35.5956 -30.1445
-61.8090 -37.1626 -30.5493
-60.8040 -38.7374 -30.8440
-59.7990 -40.3157 -31.0279
-58.7940 -41.8932 -31.1012
-57.7889 -43.4654 -31.0639
-56.7839 -45.0280 -30.9166
-55.7789 -46.5766 -30.6602
-54.7739 -48.1071 -30.2957
-53.7688 -49.6151 -29.8245
-52.7638 -51.0966 -29.2485
-51.7588 -52.5472 -28.5696
-50.7538 -53.9632 -27.7901
-49.7487 -55.3405 -26.9126
-48.7437 -56.6753 -25.9399
-47.7387 -57.9640 -24.8752
-46.7337 -59.2029 -23.7217
-45.7286 -60.3886 -22.4832
-44.7236 -61.5180 -21.1635
-43.7186 -62.5877 -19.7666
-42.7136 -63.5949 -18.2968
-41.7085 -64.5368 -16.7586
-40.7035 -65.4107 -15.1567
-39.6985 -66.2143 -13.4959
-38.6935 -66.9453 -11.7813
-37.6884 -67.6018 -10.0179
-36.6834 -68.1818 -8.2113
-35.6784 -68.6838 -6.3666
-34.6734 -69.1063 -4.4895
-33.6683 -69.4483 -2.5856
-32.6633 -69.7088 -0.6605
-31.6583 -69.8870 1.2800
-30.6533 -69.9825 3.2301
-29.6482 -69.9949 5.1839
-28.6432 -69.9243 7.1357
